sample_id;E-301 Температура;90-100;100-110;60-70;110-120;пропан;н-бутан;140-150;и-бутан;и-пентан;н-пентан;Метан+этан из жидкости в Е-301;K-301 Темп-ра в хол. зоне;40-50;50-60;K-301 Температура верха
ПРОБА 86;87.0001264667716;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;14.0;0.0;1.97446633364111;16.0;0.0;0.0;0.070016425458949;142.995019474829;0.348863075347693;0.128034046501748;95.0402979068867
ПРОБА 87;85.7878969327455;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;15.0;0.0;1.97446633364111;15.0;0.0;0.0;0.0700046607647122;142.936402788457;0.348863075347693;0.128034046501748;94.4306196029355
ПРОБА 88;84.5409071911188;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;16.0;0.0;1.97446633364111;14.0;0.0;0.0;0.0700285893652501;143.015294530217;0.348863075347693;0.128034046501748;93.7113926951827
ПРОБА 89;83.360783860438;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;17.0;0.0;1.97446633364111;13.0;0.0;0.0;0.0700291016882827;143.010903875807;0.348863075347693;0.128034046501748;93.0226061478812
ПРОБА 90;82.2085878934104;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;18.0;0.0;1.97446633364111;12.0;0.0;0.0;0.0700275070342902;143.007003805985;0.348863075347693;0.128034046501748;92.3247181644172
ПРОБА 91;81.0821020980689;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;19.0;0.0;1.97446633364111;11.0;0.0;0.0;0.0700227610239782;143.01575710591;0.348863075347693;0.128034046501748;91.6153741547106
ПРОБА 92;80.0201793305314;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;20.0;0.0;1.97446633364111;10.0;0.0;0.0;0.0700186646416057;142.953812957116;0.348863075347693;0.128034046501748;90.9300996442375
ПРОБА 93;90.5346810534014;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;20.0;1.97446633364111;0.0;10.0;0.0;0.117746180984115;127.463862923442;0.348863075347693;0.128034046501748;102.385218805934
ПРОБА 94;85.6807657176552;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;19.0;1.97446633364111;0.0;11.0;0.0;0.133365745345535;134.529608033177;0.348863075347693;0.128034046501748;100.692654693995
ПРОБА 95;68.2446494182169;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;18.0;1.97446633364111;0.0;12.0;0.0;0.191716991710876;119.548325386905;0.348863075347693;0.128034046501748;89.4530609294098
ПРОБА 96;156.440520977345;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;17.0;1.97446633364111;0.0;13.0;0.0;0.0327950509149222;115.67595638353;0.348863075347693;0.128034046501748;131.330148705602
ПРОБА 97;121.406793457262;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;16.0;1.97446633364111;0.0;14.0;0.0;0.0620429411298482;114.497398231547;0.348863075347693;0.128034046501748;127.345074213588
ПРОБА 98;81.0330145694036;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;15.0;1.97446633364111;0.0;15.0;0.0;0.150460782881722;108.187420481359;0.348863075347693;0.128034046501748;94.5210444650241
ПРОБА 99;72.9307212184262;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;14.0;1.97446633364111;0.0;16.0;0.0;0.171912398588437;143.682371461142;0.348863075347693;0.128034046501748;97.3810497385018
ПРОБА 100;;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;13.0;1.97446633364111;0.0;17.0;0.0;;;0.348863075347693;0.128034046501748;
ПРОБА 101;98.3432006937277;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;12.0;1.97446633364111;0.0;18.0;0.0;0.107271783542333;172.658970098112;0.348863075347693;0.128034046501748;36.0711206564048
ПРОБА 102;67.0526362088354;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;11.0;1.97446633364111;0.0;19.0;0.0;0.181039668651207;169.05141406157;0.348863075347693;0.128034046501748;75.0503668183021
ПРОБА 103;80.2891656214929;2.88222490456545;5.00065521253223;3.59503321466534;4.82670199147381;0.0;10.0;1.97446633364111;0.0;20.0;0.0;0.16864793842122;147.412913253643;0.348863075347693;0.128034046501748;89.784877619203
ПРОБА 102_dup2;72.35660653965459;2.8080403268468515;4.823731325778834;3.5268402993154795;4.856940548359905;8.682175050631113;2.8135831468401964;1.97446633364111;1.8233176934801;2.2837061345064877;1.0010887708160296;0.0327950509149222;144.02733451279016;0.348863075347693;0.128034046501748;107.8310483661014
ПРОБА 103_dup2;131.89304192391302;2.6751648782484776;5.025957116050488;3.651686122736976;4.977302297530775;9.718931280006522;4.592085175188776;2.022650606912373;5.187924857798262;4.287757989705413;4.503868189858239;0.191716991710876;143.93582664484674;0.348863075347693;0.128034046501748;66.27340584841818
ПРОБА 104;-175.4489038032552;2.51;4.27158488171999;3.5;4.14159775311035;0.0;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;133.19011918394958;0.348863075347693;0.128034046501748;338.91474106063833
ПРОБА 105;-31.82637828216565;2.51;4.533160680298127;3.5;4.577287370092579;5.150703294395085;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;127.81162431681462;0.5937078666052246;0.1306574546135037;215.70538641764608
ПРОБА 106;630.6192787876755;3.9865026880781342;6.041357912563668;4.647971367567407;6.243407249971976;20.0;20.0;3.0135890889629064;20.0;20.0;6.71;0.191716991710876;148.5611251650528;1.1276676273143431;1.186018109516653;150.7773704787125
ПРОБА 107;307.7395824125981;3.138621404348373;5.264534056135559;4.006487722190745;5.226393188613211;16.490597498932104;13.36296560451936;2.3853271211015485;12.21414373482468;9.287681662609238;6.71;0.191716991710876;157.64471494979134;1.0237763643109248;0.128034046501748;-271.15
ПРОБА 108;221.64922389950635;3.116454347784984;5.115807950446889;3.856072449012497;4.941051311258487;14.477003068438036;9.886865806532768;2.2108034675516546;8.538196238503328;6.45411895568445;6.71;0.191716991710876;143.4010302803322;0.3525730139863477;0.4353258810331057;178.08118466710533
ПРОБА 109;47.78149197619575;2.7329072596525563;4.761812280374572;3.5172389055103865;4.680319460672565;7.078210795994745;2.377525458229762;1.97446633364111;1.9253436737110208;0.0;0.5530959368656398;0.0327950509149222;146.2850558351927;0.348863075347693;0.128034046501748;120.39441171006388
ПРОБА 110;12.267300766275753;2.7289195211583244;4.893920632851844;3.5;4.653835943981631;5.957084582437239;1.9406616071423184;1.97446633364111;1.707095421592735;0.0;0.0;0.0327950509149222;131.80596638871864;0.348863075347693;0.128034046501748;107.771701963821
ПРОБА 111;210.50175329477548;3.10498748911325;5.172815484484112;3.779508897632637;5.009544479762218;13.050219913507938;9.678349042329671;2.1890870609961923;5.957025564276774;6.77941333553528;6.71;0.191716991710876;140.65737906203248;0.9278929447386556;0.128034046501748;-97.16786421984614
ПРОБА 112;-42.51170620386464;2.555522624645801;4.675134020592233;3.5;4.523586352167291;4.6621234359987405;0.1844504697011062;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;142.07763582682472;0.348863075347693;0.1609557126360856;-117.54085458309972
ПРОБА 113;160.6386393520687;2.81532594127362;5.202286245698193;3.7161297264529938;4.693361617155551;12.686531218802196;6.537416364735961;2.0850044132906898;6.6166456061666015;5.678441248855725;5.035141889040444;0.191716991710876;144.09297590246663;0.348863075347693;0.128034046501748;136.22293806752225
ПРОБА 114;-18.35233163998637;2.51;4.729145729100482;3.5;4.415916409081465;4.815131141252259;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;142.06624355472488;0.348863075347693;0.128034046501748;218.60737979502528
ПРОБА 115;160.66984178833695;2.9242955903339127;5.065963369322186;3.740772452547816;4.910187708305532;13.03722858779201;6.580884209911995;2.0806721403063024;7.502936428877484;5.376035251468262;4.709853559240299;0.191716991710876;144.55798845559914;0.348863075347693;0.128034046501748;144.4231483486355
ПРОБА 116;160.69220673045857;2.990162181579634;5.182681158534024;3.7319489255234175;4.907563705420494;12.378391320760883;7.85168369968783;2.084526324809875;6.3962385912094994;5.470710435837533;4.743212917451556;0.191716991710876;143.54537402735443;0.348863075347693;1.000956328773252;253.0471362268773
ПРОБА 117;160.69220673045857;2.921554588382772;5.213496808745403;3.694893119662931;4.840409386860202;11.051589515625604;8.559256418805573;2.0842811893750897;6.874465964352245;5.677016646511079;4.79567750002381;0.191716991710876;141.07861981671593;0.63229245925692;0.128034046501748;102.37426718255466
ПРОБА 118;-51.20065650463681;2.6388175588350835;4.6626646313140565;3.5;4.481810588261258;3.803918233187523;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;132.03791009051628;0.348863075347693;0.198619586878776;-12.37903627342348
ПРОБА 119;12.1781377263423;2.6621513738811653;4.824902551816971;3.5;4.648437940672899;5.01143661751519;0.6955454905510976;1.97446633364111;0.9010829083103998;0.0;0.0;0.0327950509149222;147.49941768896937;1.1670441215032796;0.128034046501748;24.43756469003415
ПРОБА 120;163.68129038667132;2.886735962956233;4.9935185013033205;3.683344511649484;5.090201011679535;12.908895626064623;7.49452254862715;2.09071294106812;7.21591688074639;3.000235260267877;4.418953670630737;0.191716991710876;152.90410416025904;0.348863075347693;0.3099480375715547;70.1915375401876
ПРОБА 121;161.03451279455584;2.9599927273603086;4.975930816026061;3.699249705458744;4.919312736877083;11.874648310086478;6.828812721059829;2.0852270821746743;6.274452241209899;5.110634147870527;5.183775237986001;0.191716991710876;139.21594952497546;0.5455057916868873;0.6682247827883813;95.47231313844073
ПРОБА 122;-39.00351041652715;2.617545110224808;4.829836696220195;3.5;4.602704442992738;3.7381909290841504;0.0251069457693002;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;132.8734106659482;0.348863075347693;0.128034046501748;221.9712124467032
ПРОБА 123;-46.62495146173322;2.613625928963495;4.764071799819825;3.5;4.429893723524686;2.937266106417228;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;136.5942425237187;0.348863075347693;0.4044507767136571;75.25218373847252
ПРОБА 124;44.99573058056211;2.974512603285849;4.948927032477795;3.5;4.799679171802205;8.505564271187012;1.606317885596087;1.97446633364111;0.5366776677736002;1.6206573252341026;0.0;0.0327950509149222;142.93672726555434;0.348863075347693;0.128034046501748;93.13840011732464
ПРОБА 125;23.99413749638768;2.641221693751989;4.879739642332591;3.5;4.72478477678118;6.288429727077203;0.8105428751845583;1.97446633364111;0.4124305289056517;0.0;0.0;0.0327950509149222;139.57944181530237;0.348863075347693;0.1360960947705516;210.453784145449
ПРОБА 126;217.45003402349488;3.0962222206279244;5.230084976524908;3.8303452953452366;5.193786093017944;13.752867248067185;7.010839057844147;2.196409684789024;8.145672537777934;6.8308339928333925;6.71;0.191716991710876;148.9411080449116;0.6723916560870131;0.8894714605387302;-240.2558993574141
ПРОБА 127;134.7329350129362;2.9879186177439587;5.165974954342508;3.635322548118856;5.002832174423658;10.520377559319716;5.05887266543914;2.034242407194803;5.3729049741614405;4.507672222353683;4.164453731197095;0.191716991710876;143.59389037069266;1.212423078401231;0.5708096057878376;93.89564912522444
ПРОБА 128;30.90730873336452;2.728860743500539;4.995520630722868;3.5;4.774289511237655;7.251795244178426;0.9543299427791512;1.97446633364111;1.8363103055353729;0.0;0.0;0.0327950509149222;140.13769184403284;0.348863075347693;1.09626849765446;142.06105343673556
ПРОБА 129;225.39030233401328;3.063258470731084;5.380765200140324;3.8316917742465537;5.048157365656183;14.864249867015108;9.447701148132198;2.2182211728483088;7.557269720672619;7.64741315120768;6.71;0.191716991710876;159.17203426467154;0.6980033066910156;0.128034046501748;-271.15
ПРОБА 130;3.56194796158934;2.51;4.779404235351684;3.5;4.662012893391461;6.03840423935006;1.8886375194143343;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;137.17329883289824;0.578317278386782;0.128034046501748;-39.98810158368417
ПРОБА 131;144.50149105186767;2.9003125801299388;5.2931275805112845;3.691477275777301;5.081002404557701;11.694074354373086;6.168192700174502;2.0580888176832555;6.861708899024178;3.855482005375781;3.694684847952229;0.191716991710876;152.70802905962367;0.3567932276731903;0.128034046501748;86.43920676908675
ПРОБА 132;47.95508759078848;2.6428546659762704;4.919496862748285;3.5;4.600549361744943;9.543044813792498;1.5205834926508823;1.97446633364111;0.7748089841094725;1.3570758521645376;0.3632454406669278;0.0327950509149222;148.8033416384612;0.348863075347693;0.3974902709156131;259.3443315862611
ПРОБА 133;163.03528170212013;2.7983540960819533;5.212600751409165;3.6964020994661055;4.83467393741085;11.598189960990688;7.097650436161773;2.088812364581205;5.299354960084982;5.8320063460676055;5.096906298445962;0.191716991710876;147.3325482602767;0.348863075347693;0.5328209148055245;209.55809300058576
ПРОБА 134;43.124580478019936;2.664986224104668;4.918192755274564;3.5;4.73050059705106;6.695934199339757;3.4073505498526435;1.97446633364111;1.5274831202424886;0.0;0.3647401827789617;0.0327950509149222;131.0444447014297;0.4948753894913614;0.128034046501748;87.72151316912203
ПРОБА 135;108.56392262379916;2.767115323894238;5.043604621827304;3.585072794931889;4.900548870305396;9.011977885994586;3.999791798127559;1.9787271733092648;4.787135804727784;3.949644742459864;2.855221802853805;0.1299080974602717;143.22818503542553;0.348863075347693;0.128034046501748;77.81911350761732
ПРОБА 136;165.70641922474562;3.0678946315129;5.004743051298905;3.674901453978432;4.807236676761105;12.727429900855816;6.3508755943588735;2.100593106978493;6.239876533840982;5.960016823651827;5.179158618632618;0.191716991710876;142.0925089578722;0.348863075347693;0.6950914603108842;116.23934509856063
ПРОБА 137;166.72054599632725;3.0719017811252045;5.230719828964811;3.732921161464413;4.93478003955926;13.28098784186448;7.86056450841781;2.0966223365261123;7.597976139580576;5.403941436516245;5.616412171244501;0.191716991710876;144.91561445476782;0.524258454399164;0.128034046501748;85.97897457448278
ПРОБА 138;28.29277117616971;2.6229496597253306;5.287962150222201;3.5;4.654702424607352;6.50095709868241;1.5433684406064847;1.97446633364111;1.5886985389038126;0.0;0.0;0.0327950509149222;135.10699006074492;0.348863075347693;0.6490430674539514;539.5270146972039
ПРОБА 139;167.08784903878018;2.974142604129229;5.06375503025286;3.716112341477805;4.576977955652314;11.326551193879176;7.964192361551178;2.097511510130252;7.125527737731766;4.457501652266135;4.174810733847594;0.191716991710876;148.7709431254022;0.348863075347693;1.917696642797422;330.554157998478
ПРОБА 140;163.7275716581213;2.7846858283731493;5.126503384466719;3.6622884950812034;4.904534827053735;11.20781535992411;7.168649783820052;2.094680420553378;6.703413076939442;4.644633998712327;4.895795940467306;0.191716991710876;149.86456132616206;0.7213886024946349;0.4574920796087149;-13.44900498561134
ПРОБА 141;-46.44761385135857;2.5203005630803963;4.625556016599923;3.5;4.494615712233499;4.275881943060856;0.0;1.97446633364111;0.0699422555822399;0.0;0.0;0.0327950509149222;144.52559195456234;0.348863075347693;0.1635604470205021;-271.15
ПРОБА 142;-241.3122045060131;2.51;4.229310720991327;3.5;4.104388200003452;0.0;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;130.57395696128722;0.348863075347693;0.128034046501748;193.2709089080512
ПРОБА 143;64.56583045098563;2.8931896106692907;5.157793269238886;3.51976673130974;4.980158978831999;8.608981195635117;3.2037422765416546;1.97446633364111;0.1793046352634086;1.6533391759497926;1.0674253433668632;0.0327950509149222;136.2136767584044;0.348863075347693;0.128034046501748;52.39831441290943
ПРОБА 144;64.57710379959923;2.717340383993795;4.812267788666756;3.5;4.5393696695372965;7.400768153985772;3.0055878469113093;1.97446633364111;3.787532222791608;0.0;1.4552360939181916;0.0327950509149222;143.58289784595317;0.348863075347693;0.128034046501748;-17.139077525659957
ПРОБА 145;-38.82545068798251;2.71235547495435;4.636456456187865;3.5;4.398086494885597;4.162337004837918;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;147.8146452094413;0.8737912686688617;0.128034046501748;246.97741312869448
ПРОБА 146;230.6890102788004;2.957780093725122;5.001978620189561;3.833556076276479;4.637696901277447;14.82743992958324;8.297276172573824;2.227915414045592;8.935634564785547;7.970401875016521;6.71;0.191716991710876;147.09211042176457;1.0759444402501446;0.128034046501748;-271.15
ПРОБА 147;198.71131916268064;2.9244784002208952;5.0673463759142825;3.77595896617914;4.930730773679527;13.650335072526737;9.267395511072383;2.166932315930104;8.85819716065825;9.02677662085664;6.094387699164768;0.191716991710876;148.132345369298;0.5759636699927515;1.3186285097518642;-270.03814007439803
ПРОБА 148;-28.38837089094676;2.6940991554021374;4.464982506229631;3.5;4.490814639840336;5.219087651600817;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;137.730647825637;0.348863075347693;0.128034046501748;190.790515973622
ПРОБА 149;212.9439809872912;3.286708732703099;5.3123290922651965;3.823404780492434;4.954328461876929;14.224548497556828;8.128672667134815;2.1852042371221474;6.866305734676008;8.62296751527228;6.71;0.191716991710876;143.56825109200244;0.348863075347693;0.5636483199762917;-232.85533374402908
ПРОБА 150;-30.521503510977425;2.6651065549159294;5.1632280413777805;3.5;4.73835462427991;4.941247131923294;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;142.3309946127614;0.348863075347693;0.128034046501748;43.5510909899474
ПРОБА 151;200.6178921666828;3.0663471387373757;5.132079903652913;3.808377756451144;5.159250896263141;13.575488465446702;9.785928253307112;2.174373668392796;6.830773105932385;7.069081313973772;6.632981686020874;0.191716991710876;145.27373302238388;0.5543369352600036;0.2165797301651942;-45.57831875038758
ПРОБА 152;166.8575132449505;2.75241579926362;4.861963479929011;3.723670878531218;4.960617704743009;12.4466136377785;5.026756393716594;2.098224393091145;6.714130845105511;5.425842152476722;4.499700561150056;0.191716991710876;146.92202952630117;0.4324504843104555;0.8127413449114508;3.55091603775162
ПРОБА 153;-49.27595472717161;2.51;4.8296829362493785;3.5;4.453232081016064;4.143443746042173;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;140.98103588946864;0.348863075347693;0.128034046501748;-271.1411813502253
ПРОБА 154;43.02505775283362;2.770572954653708;4.760755874069139;3.5;4.871798561851902;5.747040199548176;1.431309577508574;1.97446633364111;1.5974701987323958;0.2005109150418243;0.3763859151396723;0.0327950509149222;142.91458879190458;0.348863075347693;0.311922254620031;47.45259923181112
ПРОБА 155;109.658619425293;2.8480966194988317;5.209783700191935;3.561854628209016;4.829869474266415;9.549867269944915;6.480717353022546;1.9822974080111864;2.573772602409851;4.473588667759676;2.7783097890930546;0.191716991710876;146.01199580341452;0.348863075347693;0.128034046501748;186.35474225765188
ПРОБА 156;-37.51028730977731;2.51;4.669014796763267;3.5;4.401780870799938;3.512409562606609;0.0;1.97446633364111;0.0;0.0;0.0;0.0327950509149222;134.22932755437944;0.348863075347693;0.128034046501748;360.9679323634691
ПРОБА 157;284.20354748923137;3.2456254716313917;5.257934048093151;3.942732069779505;4.894797118438135;16.21245776061641;12.768652849320976;2.3301293256314253;11.022689194250134;11.133570181039;6.71;0.191716991710876;143.56207357538398;1.092897360197993;0.128034046501748;-228.41716640335108
ПРОБА 158;33.840584918274146;2.750571270682431;4.8279343487296;3.5;4.607622669047355;6.56167485479478;0.8466561868952325;1.97446633364111;0.4820410723831277;0.0;0.2035561698794797;0.0327950509149222;140.60172824012747;0.348863075347693;0.128034046501748;132.19821037297618
ПРОБА 159;64.51671869086141;2.906753942001512;5.0351052139577;3.5;4.869297920196469;9.558803768159349;2.0943265816544274;1.97446633364111;2.640248228641566;1.153610610523667;0.9251655647459014;0.0327950509149222;141.6476565118972;0.348863075347693;0.128034046501748;107.61729810018916
