sample_id;Давление в E-301;Масса КГД из куба колонны;Вывод балансового избытка;520-540;K-301 Темп-ра в гор. зоне;Метан+этан из жидкости в Е-301;60-70;50-60;н-пентан;40-50
ПРОБА 48;2.895;202.835000252343;0.100017526199714;0.0599838330012333;179.00239063316;0.069970116425007;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 49;3.59093655552084;204.093093812026;0.100042686146052;0.0599838330012333;179.003840496042;0.0698684618999441;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 50;1.64677415479938;194.893741272482;0.100011645894041;0.0599838330012333;179.000298742307;0.0699623497577281;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 51;1.64814727417772;196.821529002105;0.0999279593045627;0.0599838330012333;179.029929997005;0.0701567708351634;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 52;1.64872957610694;197.796139946406;0.0999579501454387;0.0599838330012333;179.001707219876;0.0700771772719486;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 53;1.65094669951116;199.212415138743;0.0999449604425168;0.0599838330012333;179.033421670885;0.070109237665061;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 54;1.65017206088465;198.787911628556;0.100071687195889;0.0599838330012333;178.983024563679;0.0699645568134138;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 55;1.65316357314705;199.717240266061;0.0998866426709209;0.0599838330012333;179.052587850661;0.0701468136323459;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 56;1.65666050336801;200.708658630956;0.0999691333892405;0.0599838330012333;179.013867828325;0.0700786653520927;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 57;1.66084328666492;201.682136057962;0.0999654805716377;0.0599838330012333;179.009644587619;0.070059547776441;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 58;1.6658509673624;202.646007027503;0.0999840848611524;0.0599838330012333;179.039421626859;0.0700500299797842;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 59;1.65123058530696;196.415365345037;0.0999932632020098;0.0599838330012333;179.07381281184;0.0700264365986835;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 60;1.65646857222866;197.009659752791;0.0999700561378935;0.0599838330012333;179.061401563397;0.0700274913464194;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 61;1.66114261055417;197.593140676289;0.0999727500462535;0.0599838330012333;179.026613945533;0.069989583578359;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 62;1.66615958203762;198.156548928213;0.0999798253284593;0.0599838330012333;179.048075234428;0.0699958939810058;3.59503321466534;0.128034046501748;2.71;0.348863075347693
ПРОБА 63;1.63823674111392;194.290664069555;0.0999992313904225;0.0599838330012333;179.093240237256;0.0700618657583646;3.59503321466534;0.128034046501748;1.71;0.348863075347693
ПРОБА 64;1.65829304508831;195.157331674894;0.100062369584607;0.0599838330012333;178.998788115576;0.0698985340848023;3.59503321466534;0.128034046501748;3.71;0.348863075347693
ПРОБА 65;1.66814425139216;194.347073815846;0.0999749996673429;0.0599838330012333;179.135416227043;0.0700959416253809;3.59503321466534;0.128034046501748;4.71;0.348863075347693
ПРОБА 66;1.67826400565267;193.580803073046;0.100013588256776;0.0599838330012333;179.043330673349;0.0699971469065243;3.59503321466534;0.128034046501748;5.71;0.348863075347693
ПРОБА 67;1.69374304391901;193.678859102436;0.100049193402887;0.0599838330012333;179.010196056383;0.0699301118164918;3.59503321466534;0.128034046501748;6.71;0.348863075347693
ПРОБА 68;1.66190838279802;197.251459415478;0.0999772323811425;0.0599838330012333;179.089367088514;0.0700973577433712;3.59503321466534;0.128034046501748;3.71;0.348863075347693
ПРОБА 69;1.61239487777202;193.612441933346;0.100085615052006;0.0599838330012333;179.002840060825;0.0698216122758367;3.59503321466534;0.128034046501748;3.71;0.348863075347693
ПРОБА 70;1.25589290003209;0.0;0.121409289150035;0.0599838330012333;85.0721062007672;0.0518151290465458;3.59503321466534;7.13;2.71;5.43
ПРОБА 71;2.23980861204777;164.123695279725;0.0999623166861289;0.0599838330012333;179.002173752739;0.0701394151086375;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 72;2.14231947318169;164.342583988184;0.0999538721831954;0.0599838330012333;178.999280864387;0.070147068539529;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 73;2.05368042980589;164.53547618336;0.0999608914296397;0.0599838330012333;178.999923486107;0.0701266567677478;3.59503321466534;0.128034046501748;0.0;0.348863075347693
